Aircraft,Tail#,Flight Leg No,ATA Main,ATA Sub,ATA,ATA Description,LRU,DateAndTime,MDC Message,Status,Flight Phase,Type,Intermittent,Equation ID,Source,Diagnostic Data,Data Used to Determine Msg,ID,Flight#
10294,792SK,18651.0,32,51,32-51,NOSEWHEEL STEERING,NWS ECU,2020-11-30 22:34:00,NO LA-IOC-6 BUS INPUT,LRU OK/INFO,AIR,Service,0,B1-007459,AC102948.SMH,350 NWS ECU 000401,"350 NWS ECU 000401
350 IAPS IOC 1A 600001",4028670876a8ccb00176a923363313ca,4682
10294,792SK,18651.0,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1B,2020-11-30 22:34:00,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,1,B1-006987,AC102948.SMH,"350 IAPS IOC 1B 600003
351 IAPS IOC 1B 020003
352 IAPS IOC 1B 627E20
354 IAPS IOC 1B 6FFF30
354 IAPS IOC 1B 002001
354 IAPS IOC 1B 600002
354 IAPS IOC 1B 600003","350 IAPS IOC 1B 600003
353 IOC 1B INPORTS 600001
353 IOC 1B INPORTS 600000
353 IOC 1B INPORTS 600002
353 IOC 1B INPORTS 600173",4028670876a8ccb00176a923363313cb,4682
10294,792SK,18651.0,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1A,2020-11-30 22:34:00,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,1,B1-006952,AC102948.SMH,"350 IAPS IOC 1A 600001
351 IAPS IOC 1A 020001
352 IAPS IOC 1A 627E70
354 IAPS IOC 1A 6FFF30
354 IAPS IOC 1A 002001
354 IAPS IOC 1A 600002
354 IAPS IOC 1A 600003","350 IAPS IOC 1A 600001
353 IOC 1A INPORTS 600001
353 IOC 1A INPORTS 600000
353 IOC 1A INPORTS 600002
353 IOC 1A INPORTS 600173",4028670876a8ccb00176a923364313cc,4682
10294,792SK,18650.0,49,0,49-00,APU,APU ECU,2020-11-30 19:03:00,NO ECU-1 BUS TO DCU,FAILED/WIRING,TAXI,Fault,0,B1-005970,AC102947.FMH,"271 APU ECU 202001
350 APU ECU 000001
351 APU ECU 000001
352 APU ECU 000001
353 APU ECU 000001","273 AIRCRAFT DISCR L 0087C1
273 AIRCRAFT DISCR R 0087C2
351 DCU 1 000001
351 DCU 2 000002
351 DCU 3 ------",4028670876a8ccb00176a92328a61320,4647
10294,792SK,18650.0,32,51,32-51,NOSEWHEEL STEERING,NWS ECU,2020-11-30 18:25:00,NO LA-IOC-6 BUS INPUT,LRU OK/INFO,AIR,Service,0,B1-007459,AC102948.SMH,350 NWS ECU 000401,"350 NWS ECU 000401
350 IAPS IOC 1A 600001",4028670876a8ccb00176a923364313cd,4647
10294,792SK,18650.0,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2B,2020-11-30 18:25:00,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,1,B1-007061,AC102948.SMH,"350 IAPS IOC 2B 600000
351 IAPS IOC 2B 600000
352 IAPS IOC 2B 625E40
354 IAPS IOC 2B 6FFF30
354 IAPS IOC 2B 600001
354 IAPS IOC 2B 600002
354 IAPS IOC 2B 600003","350 IAPS IOC 2B 600000
353 IOC 2B INPORTS 600001
353 IOC 2B INPORTS 600000
353 IOC 2B INPORTS 600002
353 IOC 2B INPORTS 600163",4028670876a8ccb00176a923364313ce,4647
10294,792SK,18650.0,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2A,2020-11-30 18:25:00,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,1,B1-007026,AC102948.SMH,"350 IAPS IOC 2A 600002
351 IAPS IOC 2A 600002
352 IAPS IOC 2A 626E10
354 IAPS IOC 2A 6FFF30
354 IAPS IOC 2A 600002
354 IAPS IOC 2A 600001
354 IAPS IOC 2A 600003","350 IAPS IOC 2A 600002
353 IOC 2A INPORTS 600001
353 IOC 2A INPORTS 600000
353 IOC 2A INPORTS 600002
353 IOC 2A INPORTS 600163",4028670876a8ccb00176a923364313cf,4647
10294,792SK,18650.0,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1B,2020-11-30 18:25:00,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,0,B1-006987,AC102948.SMH,"350 IAPS IOC 1B 600003
351 IAPS IOC 1B 600003
352 IAPS IOC 1B 627E20
354 IAPS IOC 1B 6FFF30
354 IAPS IOC 1B 600001
354 IAPS IOC 1B 600002
354 IAPS IOC 1B 600003","350 IAPS IOC 1B 600003
353 IOC 1B INPORTS 600001
353 IOC 1B INPORTS 600000
353 IOC 1B INPORTS 600002
353 IOC 1B INPORTS 600173",4028670876a8ccb00176a923364313d0,4647
10294,792SK,18650.0,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1A,2020-11-30 18:25:00,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,0,B1-006952,AC102948.SMH,"350 IAPS IOC 1A 600001
351 IAPS IOC 1A 600001
352 IAPS IOC 1A 627E70
354 IAPS IOC 1A 6FFF30
354 IAPS IOC 1A 600001
354 IAPS IOC 1A 600002
354 IAPS IOC 1A 600003","350 IAPS IOC 1A 600001
353 IOC 1A INPORTS 600001
353 IOC 1A INPORTS 600000
353 IOC 1A INPORTS 600002
353 IOC 1A INPORTS 600173",4028670876a8ccb00176a923364313d1,4647
10294,792SK,18649.0,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1A,2020-11-30 15:13:00,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,2,B1-006952,AC102948.SMH,"350 IAPS IOC 1A 000201
351 IAPS IOC 1A 600001
352 IAPS IOC 1A 627E70
354 IAPS IOC 1A 6FFF30
354 IAPS IOC 1A 600001
354 IAPS IOC 1A 600002
354 IAPS IOC 1A 600003","350 IAPS IOC 1A 000201
353 IOC 1A INPORTS 600001
353 IOC 1A INPORTS 600000
353 IOC 1A INPORTS 600002
353 IOC 1A INPORTS 600173",4028670876a8ccb00176a923364313d2,4649
10294,792SK,18649.0,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1B,2020-11-30 15:13:00,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,2,B1-006987,AC102948.SMH,"350 IAPS IOC 1B 000203
351 IAPS IOC 1B 600003
352 IAPS IOC 1B 627E20
354 IAPS IOC 1B 6FFF30
354 IAPS IOC 1B 600001
354 IAPS IOC 1B 600002
354 IAPS IOC 1B 600003","350 IAPS IOC 1B 000203
353 IOC 1B INPORTS 600001
353 IOC 1B INPORTS 600000
353 IOC 1B INPORTS 600002
353 IOC 1B INPORTS 600173",4028670876a8ccb00176a923364313d3,4649
10294,792SK,18649.0,32,51,32-51,NOSEWHEEL STEERING,NWS ECU,2020-11-30 14:37:00,NO LA-IOC-6 BUS INPUT,LRU OK/INFO,AIR,Service,0,B1-007459,AC102948.SMH,350 NWS ECU 000401,"350 NWS ECU 000401
350 IAPS IOC 1A 600001",4028670876a8ccb00176a923364313d4,4649
10294,792SK,18649.0,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2B,2020-11-30 14:37:00,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,2,B1-007061,AC102948.SMH,"350 IAPS IOC 2B 600000
351 IAPS IOC 2B 600000
352 IAPS IOC 2B 624E40
354 IAPS IOC 2B 6FFF30
354 IAPS IOC 2B 600001
354 IAPS IOC 2B 600002
354 IAPS IOC 2B 600003","350 IAPS IOC 2B 600000
353 IOC 2B INPORTS 600001
353 IOC 2B INPORTS 600000
353 IOC 2B INPORTS 600002
353 IOC 2B INPORTS 600163",4028670876a8ccb00176a923364313d5,4649
10294,792SK,18649.0,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 2A,2020-11-30 14:37:00,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,2,B1-007026,AC102948.SMH,"350 IAPS IOC 2A 600002
351 IAPS IOC 2A 600002
352 IAPS IOC 2A 625E10
354 IAPS IOC 2A 6FFF30
354 IAPS IOC 2A 600002
354 IAPS IOC 2A 600001
354 IAPS IOC 2A 600003","350 IAPS IOC 2A 600002
353 IOC 2A INPORTS 600001
353 IOC 2A INPORTS 600000
353 IOC 2A INPORTS 600002
353 IOC 2A INPORTS 600163",4028670876a8ccb00176a923364313d6,4649
10294,792SK,18648.0,32,51,32-51,NOSEWHEEL STEERING,NWS ECU,2020-11-30 14:22:00,NO LA-IOC-6 BUS INPUT,LRU OK/INFO,TAXI,Service,0,B1-007459,AC102948.SMH,350 NWS ECU 000401,"350 NWS ECU 000401
350 IAPS IOC 1A 600001",4028670876a8ccb00176a923364313d7,4649
10294,792SK,18648.0,38,10,Oct-38,POTABLE WATER,AFT FILL NUT HTR,2020-11-30 03:36:00,HIGH TEMP/HTR SNSR OPEN,FAILED/WIRING,GROUND,Fault,2,B1-039969,AC102947.FMH, ,360 PWS CNTRL UNIT 030001,40286708765b8d1801765bf549a30698, 
10294,792SK,18648.0,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1B,2020-11-30 02:25:00,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,0,B1-006987,AC10294U.SMH,"350 IAPS IOC 1B 600003
351 IAPS IOC 1B 020003
352 IAPS IOC 1B 625E20
354 IAPS IOC 1B 6FFF30
354 IAPS IOC 1B 002001
354 IAPS IOC 1B 600002
354 IAPS IOC 1B 600003","350 IAPS IOC 1B 600003
353 IOC 1B INPORTS 600001
353 IOC 1B INPORTS 600000
353 IOC 1B INPORTS 600002
353 IOC 1B INPORTS 600173",40286708761373e501761722b7a54d9a,5249
10294,792SK,18648.0,22,12,22-Dec,Integrated Avionics Processor System (IAPS),IAPS IOC 1A,2020-11-30 02:25:00,INPUT BUS ERROR,LRU OK/INFO,AIR,Service,0,B1-006952,AC10294U.SMH,"350 IAPS IOC 1A 000201
351 IAPS IOC 1A 020001
352 IAPS IOC 1A 625E70
354 IAPS IOC 1A 6FFF30
354 IAPS IOC 1A 002001
354 IAPS IOC 1A 600002
354 IAPS IOC 1A 600003","350 IAPS IOC 1A 000201
353 IOC 1A INPORTS 600001
353 IOC 1A INPORTS 600000
353 IOC 1A INPORTS 600002
353 IOC 1A INPORTS 600173",40286708761373e501761722b7b54d9b,5249
